timestamp,co2,temperature,humidity,pressure
2020-02-29 02:08:54,479,0,0,0
2020-02-29 02:09:22,0,25.15,27.32,100335
2020-02-29 02:09:54,479,0,0,0
2020-02-29 02:10:23,0,25.15,27.32,100336
2020-02-29 02:10:54,479,0,0,0
2020-02-29 02:11:24,0,25.15,27.33,100336
2020-02-29 02:11:54,478,0,0,0
2020-02-29 02:12:25,0,25.14,27.33,100332
2020-02-29 02:12:54,477,0,0,0
2020-02-29 02:13:26,0,25.14,27.33,100332
2020-02-29 02:13:54,477,0,0,0
2020-02-29 02:14:27,0,25.13,27.33,100332
2020-02-29 02:14:54,478,0,0,0
2020-02-29 02:15:29,0,25.13,27.32,100327
2020-02-29 02:15:54,479,0,0,0
2020-02-29 02:16:30,0,25.13,27.32,100326
2020-02-29 02:16:54,479,0,0,0
2020-02-29 02:17:31,0,25.13,27.32,100326
2020-02-29 02:18:32,0,25.13,27.32,100320
2020-02-29 02:18:54,479,0,0,0
2020-02-29 02:19:33,0,25.13,27.33,100320
2020-02-29 02:19:54,479,0,0,0
2020-02-29 02:20:34,0,25.13,27.33,100326
2020-02-29 02:20:54,479,0,0,0
2020-02-29 02:21:34,0,25.13,27.33,100326
2020-02-29 02:21:54,479,0,0,0
2020-02-29 02:22:35,0,25.13,27.34,100317
2020-02-29 02:22:54,479,0,0,0
2020-02-29 02:23:36,0,25.13,27.34,100317
2020-02-29 02:23:54,478,0,0,0
2020-02-29 02:24:37,0,25.13,27.34,100317
2020-02-29 02:24:54,476,0,0,0
2020-02-29 02:25:38,0,25.13,27.35,100316
2020-02-29 02:26:40,0,25.13,27.35,100316
2020-02-29 02:27:41,0,25.13,27.33,100316
2020-02-29 02:27:55,473,0,0,0
2020-02-29 02:28:42,0,25.13,27.33,100319
2020-02-29 02:28:55,473,0,0,0
2020-02-29 02:29:43,0,25.13,27.33,100316
2020-02-29 02:30:44,0,25.13,27.33,100316
2020-02-29 02:30:55,474,0,0,0
2020-02-29 02:31:45,0,25.13,27.33,100316
2020-02-29 02:31:55,475,0,0,0
2020-02-29 02:32:45,0,25.13,27.33,100318
2020-02-29 02:32:55,475,0,0,0
2020-02-29 02:33:46,0,25.13,27.33,100318
2020-02-29 02:33:55,474,0,0,0
2020-02-29 02:34:47,0,25.13,27.33,100318
2020-02-29 02:34:55,473,0,0,0
2020-02-29 02:35:48,0,25.13,27.33,100318
2020-02-29 02:35:55,473,0,0,0
2020-02-29 02:36:49,0,25.13,27.33,100318
2020-02-29 02:36:55,473,0,0,0
2020-02-29 02:37:50,0,25.13,27.33,100318
2020-02-29 02:37:56,470,0,0,0
2020-02-29 02:38:52,0,25.12,27.33,100313
2020-02-29 02:38:56,470,0,0,0
2020-02-29 02:39:53,0,25.12,27.33,100312
2020-02-29 02:40:54,0,25.12,27.33,100312
2020-02-29 02:40:55,470,0,0,0
2020-02-29 02:41:55,468,25.12,27.33,100314
2020-02-29 02:42:55,467,25.12,27.34,100314
2020-02-29 02:43:55,467,0,0,0
2020-02-29 02:43:56,0,25.12,27.34,100314
2020-02-29 02:44:57,0,25.12,27.35,100314
2020-02-29 02:45:55,467,0,0,0
2020-02-29 02:45:58,0,25.12,27.35,100314
2020-02-29 02:46:55,470,0,0,0
2020-02-29 02:46:59,0,25.12,27.35,100314
2020-02-29 02:47:55,470,0,0,0
2020-02-29 02:48:00,0,25.12,27.35,100312
2020-02-29 02:48:55,469,0,0,0
2020-02-29 02:49:02,0,25.12,27.34,100308
2020-02-29 02:49:56,466,0,0,0
2020-02-29 02:50:03,0,25.12,27.34,100306
